Site,Date,Time,Temperature_C
Heather Marina,2025-06-04,20:00:00,16.95
Heather Marina,2025-06-04,20:30:00,16.44
Heather Marina,2025-06-04,21:00:00,16.32
Heather Marina,2025-06-04,21:30:00,16.47
Heather Marina,2025-06-04,22:00:00,16.41
Heather Marina,2025-06-04,22:30:00,16.35
Heather Marina,2025-06-04,23:00:00,16.35
Heather Marina,2025-06-04,23:30:00,16.38
Heather Marina,2025-06-05,0:00:00,16.35
Heather Marina,2025-06-05,0:30:00,16.29
Heather Marina,2025-06-05,1:00:00,16.29
Heather Marina,2025-06-05,1:30:00,16.35
Heather Marina,2025-06-05,2:00:00,16.32
Heather Marina,2025-06-05,2:30:00,16.26
Heather Marina,2025-06-05,3:00:00,16.26
Heather Marina,2025-06-05,3:30:00,16.26
Heather Marina,2025-06-05,4:00:00,16.32
Heather Marina,2025-06-05,4:30:00,16.41
Heather Marina,2025-06-05,5:00:00,16.32
Heather Marina,2025-06-05,5:30:00,16.2
Heather Marina,2025-06-05,6:00:00,16.23
Heather Marina,2025-06-05,6:30:00,16.23
Heather Marina,2025-06-05,7:00:00,16.29
Heather Marina,2025-06-05,7:30:00,16.32
Heather Marina,2025-06-05,8:00:00,16.23
Heather Marina,2025-06-05,8:30:00,16.38
Heather Marina,2025-06-05,9:00:00,16.53
Heather Marina,2025-06-05,9:30:00,16.59
Heather Marina,2025-06-05,10:00:00,16.65
Heather Marina,2025-06-05,10:30:00,16.8
Heather Marina,2025-06-05,11:00:00,16.65
Heather Marina,2025-06-05,11:30:00,16.59
Heather Marina,2025-06-05,12:00:00,16.59
Heather Marina,2025-06-05,12:30:00,16.71
Heather Marina,2025-06-05,13:00:00,16.74
Heather Marina,2025-06-05,13:30:00,16.83
Heather Marina,2025-06-05,14:00:00,16.86
Heather Marina,2025-06-05,14:30:00,17.04
Heather Marina,2025-06-05,15:00:00,17.19
Heather Marina,2025-06-05,15:30:00,17.28
Heather Marina,2025-06-05,16:00:00,17.52
Heather Marina,2025-06-05,16:30:00,17.73
Heather Marina,2025-06-05,17:00:00,17.82
Heather Marina,2025-06-05,17:30:00,17.79
Heather Marina,2025-06-05,18:00:00,17.79
Heather Marina,2025-06-05,18:30:00,17.76
Heather Marina,2025-06-05,19:00:00,17.79
Heather Marina,2025-06-05,19:30:00,17.76
Heather Marina,2025-06-05,20:00:00,17.73
Heather Marina,2025-06-05,20:30:00,17.84
Heather Marina,2025-06-05,21:00:00,17.7
Heather Marina,2025-06-05,21:30:00,17.61
Heather Marina,2025-06-05,22:00:00,17.67
Heather Marina,2025-06-05,22:30:00,17.67
Heather Marina,2025-06-05,23:00:00,17.67
Heather Marina,2025-06-05,23:30:00,17.73
Heather Marina,2025-06-06,0:00:00,17.25
Heather Marina,2025-06-06,0:30:00,17.46
Heather Marina,2025-06-06,1:00:00,17.46
Heather Marina,2025-06-06,1:30:00,17.28
Heather Marina,2025-06-06,2:00:00,17.1
Heather Marina,2025-06-06,2:30:00,17.16
Heather Marina,2025-06-06,3:00:00,17.07
Heather Marina,2025-06-06,3:30:00,17.04
Heather Marina,2025-06-06,4:00:00,17.01
Heather Marina,2025-06-06,4:30:00,16.95
Heather Marina,2025-06-06,5:00:00,17.04
Heather Marina,2025-06-06,5:30:00,16.92
Heather Marina,2025-06-06,6:00:00,17.01
Heather Marina,2025-06-06,6:30:00,17.1
Heather Marina,2025-06-06,7:00:00,17.16
Heather Marina,2025-06-06,7:30:00,17.1
Heather Marina,2025-06-06,8:00:00,17.16
Heather Marina,2025-06-06,8:30:00,17.16
Heather Marina,2025-06-06,9:00:00,17.25
Heather Marina,2025-06-06,9:30:00,17.34
Heather Marina,2025-06-06,10:00:00,17.49
Heather Marina,2025-06-06,10:30:00,17.61
Heather Marina,2025-06-06,11:00:00,17.76
Heather Marina,2025-06-06,11:30:00,17.93
Heather Marina,2025-06-06,12:00:00,17.52
Heather Marina,2025-06-06,12:30:00,17.37
Heather Marina,2025-06-06,13:00:00,17.37
Heather Marina,2025-06-06,13:30:00,17.43
Heather Marina,2025-06-06,14:00:00,17.64
Heather Marina,2025-06-06,14:30:00,17.82
Heather Marina,2025-06-06,15:00:00,17.84
Heather Marina,2025-06-06,15:30:00,17.99
Heather Marina,2025-06-06,16:00:00,18.17
Heather Marina,2025-06-06,16:30:00,18.35
Heather Marina,2025-06-06,17:00:00,18.47
Heather Marina,2025-06-06,17:30:00,18.41
Heather Marina,2025-06-06,18:00:00,18.38
Heather Marina,2025-06-06,18:30:00,18.47
Heather Marina,2025-06-06,19:00:00,18.5
Heather Marina,2025-06-06,19:30:00,18.5
Heather Marina,2025-06-06,20:00:00,18.56
Heather Marina,2025-06-06,20:30:00,18.38
Heather Marina,2025-06-06,21:00:00,18.35
Heather Marina,2025-06-06,21:30:00,18.32
Heather Marina,2025-06-06,22:00:00,18.23
Heather Marina,2025-06-06,22:30:00,18.23
Heather Marina,2025-06-06,23:00:00,18.2
Heather Marina,2025-06-06,23:30:00,18.17
Heather Marina,2025-06-07,0:00:00,18.14
Heather Marina,2025-06-07,0:30:00,18.02
Heather Marina,2025-06-07,1:00:00,18.02
Heather Marina,2025-06-07,1:30:00,18.08
Heather Marina,2025-06-07,2:00:00,18.14
Heather Marina,2025-06-07,2:30:00,18.14
Heather Marina,2025-06-07,3:00:00,18.11
Heather Marina,2025-06-07,3:30:00,18.11
Heather Marina,2025-06-07,4:00:00,18.08
Heather Marina,2025-06-07,4:30:00,18.02
Heather Marina,2025-06-07,5:00:00,17.87
Heather Marina,2025-06-07,5:30:00,17.9
Heather Marina,2025-06-07,6:00:00,17.99
Heather Marina,2025-06-07,6:30:00,17.84
Heather Marina,2025-06-07,7:00:00,17.64
Heather Marina,2025-06-07,7:30:00,17.82
Heather Marina,2025-06-07,8:00:00,18.05
Heather Marina,2025-06-07,8:30:00,18.05
Heather Marina,2025-06-07,9:00:00,18.08
Heather Marina,2025-06-07,9:30:00,18.2
Heather Marina,2025-06-07,10:00:00,18.32
Heather Marina,2025-06-07,10:30:00,18.5
Heather Marina,2025-06-07,11:00:00,18.62
Heather Marina,2025-06-07,11:30:00,17.7
Heather Marina,2025-06-07,12:00:00,17.46
Heather Marina,2025-06-07,12:30:00,17.13
Heather Marina,2025-06-07,13:00:00,17.34
Heather Marina,2025-06-07,13:30:00,17.46
Heather Marina,2025-06-07,14:00:00,17.46
Heather Marina,2025-06-07,14:30:00,17.55
Heather Marina,2025-06-07,15:00:00,17.7
Heather Marina,2025-06-07,15:30:00,17.82
Heather Marina,2025-06-07,16:00:00,17.84
Heather Marina,2025-06-07,16:30:00,17.96
Heather Marina,2025-06-07,17:00:00,18.02
Heather Marina,2025-06-07,17:30:00,18.11
Heather Marina,2025-06-07,18:00:00,18.14
Heather Marina,2025-06-07,18:30:00,18.05
Heather Marina,2025-06-07,19:00:00,18.11
Heather Marina,2025-06-07,19:30:00,18.38
Heather Marina,2025-06-07,20:00:00,18.26
Heather Marina,2025-06-07,20:30:00,18.26
Heather Marina,2025-06-07,21:00:00,18.08
Heather Marina,2025-06-07,21:30:00,18.05
Heather Marina,2025-06-07,22:00:00,18.11
Heather Marina,2025-06-07,22:30:00,18.2
Heather Marina,2025-06-07,23:00:00,18.14
Heather Marina,2025-06-07,23:30:00,18.08
Heather Marina,2025-06-08,0:00:00,18.08
Heather Marina,2025-06-08,0:30:00,18.08
Heather Marina,2025-06-08,1:00:00,18.05
Heather Marina,2025-06-08,1:30:00,18.05
Heather Marina,2025-06-08,2:00:00,18.08
Heather Marina,2025-06-08,2:30:00,18.08
Heather Marina,2025-06-08,3:00:00,18.05
Heather Marina,2025-06-08,3:30:00,18.08
Heather Marina,2025-06-08,4:00:00,18.05
Heather Marina,2025-06-08,4:30:00,18.02
Heather Marina,2025-06-08,5:00:00,17.99
Heather Marina,2025-06-08,5:30:00,18.05
Heather Marina,2025-06-08,6:00:00,17.93
Heather Marina,2025-06-08,6:30:00,18.05
Heather Marina,2025-06-08,7:00:00,18.17
Heather Marina,2025-06-08,7:30:00,18.23
Heather Marina,2025-06-08,8:00:00,18.02
Heather Marina,2025-06-08,8:30:00,18.02
Heather Marina,2025-06-08,9:00:00,18.23
Heather Marina,2025-06-08,9:30:00,18.47
Heather Marina,2025-06-08,10:00:00,18.68
Heather Marina,2025-06-08,10:30:00,18.76
Heather Marina,2025-06-08,11:00:00,18.88
Heather Marina,2025-06-08,11:30:00,19.12
Heather Marina,2025-06-08,12:00:00,19.38
Heather Marina,2025-06-08,12:30:00,19.5
Heather Marina,2025-06-08,13:00:00,19.38
Heather Marina,2025-06-08,13:30:00,19.62
Heather Marina,2025-06-08,14:00:00,19.62
Heather Marina,2025-06-08,14:30:00,19.65
Heather Marina,2025-06-08,15:00:00,19.62
Heather Marina,2025-06-08,15:30:00,19.65
Heather Marina,2025-06-08,16:00:00,20.06
Heather Marina,2025-06-08,16:30:00,19.65
Heather Marina,2025-06-08,17:00:00,19.83
Heather Marina,2025-06-08,17:30:00,19.91
Heather Marina,2025-06-08,18:00:00,20.21
Heather Marina,2025-06-08,18:30:00,20.27
Heather Marina,2025-06-08,19:00:00,20.12
Heather Marina,2025-06-08,19:30:00,19.94
Heather Marina,2025-06-08,20:00:00,19.74
Heather Marina,2025-06-08,20:30:00,19.77
Heather Marina,2025-06-08,21:00:00,19.77
Heather Marina,2025-06-08,21:30:00,19.74
Heather Marina,2025-06-08,22:00:00,19.65
Heather Marina,2025-06-08,22:30:00,19.65
Heather Marina,2025-06-08,23:00:00,19.53
Heather Marina,2025-06-08,23:30:00,19.56
Heather Marina,2025-06-09,0:00:00,19.56
Heather Marina,2025-06-09,0:30:00,19.5
Heather Marina,2025-06-09,1:00:00,19.47
Heather Marina,2025-06-09,1:30:00,19.41
Heather Marina,2025-06-09,2:00:00,19.27
Heather Marina,2025-06-09,2:30:00,19.27
Heather Marina,2025-06-09,3:00:00,19.24
Heather Marina,2025-06-09,3:30:00,19.15
Heather Marina,2025-06-09,4:00:00,19.18
Heather Marina,2025-06-09,4:30:00,19.18
Heather Marina,2025-06-09,5:00:00,19.12
Heather Marina,2025-06-09,5:30:00,19.03
Heather Marina,2025-06-09,6:00:00,19.06
Heather Marina,2025-06-09,6:30:00,18.97
Heather Marina,2025-06-09,7:00:00,18.97
Heather Marina,2025-06-09,7:30:00,18.97
Heather Marina,2025-06-09,8:00:00,18.97
Heather Marina,2025-06-09,8:30:00,19
Heather Marina,2025-06-09,9:00:00,19.03
Heather Marina,2025-06-09,9:30:00,19.09
Heather Marina,2025-06-09,10:00:00,19.12
Heather Marina,2025-06-09,10:30:00,19.18
Heather Marina,2025-06-09,11:00:00,19.41
Heather Marina,2025-06-09,11:30:00,19.65
Heather Marina,2025-06-09,12:00:00,19.74
Heather Marina,2025-06-09,12:30:00,19.86
Heather Marina,2025-06-09,13:00:00,19.94
Heather Marina,2025-06-09,13:30:00,19.97
Heather Marina,2025-06-09,14:00:00,20.21
Heather Marina,2025-06-09,14:30:00,20.33
Heather Marina,2025-06-09,15:00:00,20.35
Heather Marina,2025-06-09,15:30:00,20.24
Heather Marina,2025-06-09,16:00:00,20.27
Heather Marina,2025-06-09,16:30:00,20.27
Heather Marina,2025-06-09,17:00:00,20.21
Heather Marina,2025-06-09,17:30:00,20.41
Heather Marina,2025-06-09,18:00:00,20.35
Heather Marina,2025-06-09,18:30:00,20.27
Heather Marina,2025-06-09,19:00:00,20.27
Heather Marina,2025-06-09,19:30:00,20.35
Heather Marina,2025-06-09,20:00:00,20.35
Heather Marina,2025-06-09,20:30:00,20.27
Heather Marina,2025-06-09,21:00:00,20.18
Heather Marina,2025-06-09,21:30:00,20.15
Heather Marina,2025-06-09,22:00:00,20.09
Heather Marina,2025-06-09,22:30:00,20.03
Heather Marina,2025-06-09,23:00:00,20
Heather Marina,2025-06-09,23:30:00,19.88
Heather Marina,2025-06-10,0:00:00,19.88
Heather Marina,2025-06-10,0:30:00,19.94
Heather Marina,2025-06-10,1:00:00,19.94
Heather Marina,2025-06-10,1:30:00,19.91
Heather Marina,2025-06-10,2:00:00,19.86
Heather Marina,2025-06-10,2:30:00,19.77
Heather Marina,2025-06-10,3:00:00,19.68
Heather Marina,2025-06-10,3:30:00,19.65
Heather Marina,2025-06-10,4:00:00,19.62
Heather Marina,2025-06-10,4:30:00,19.56
Heather Marina,2025-06-10,5:00:00,19.47
Heather Marina,2025-06-10,5:30:00,19.33
Heather Marina,2025-06-10,6:00:00,19.27
Heather Marina,2025-06-10,6:30:00,19.27
Heather Marina,2025-06-10,7:00:00,19.3
Heather Marina,2025-06-10,7:30:00,19.27
Heather Marina,2025-06-10,8:00:00,19.3
Heather Marina,2025-06-10,8:30:00,19.3
Heather Marina,2025-06-10,9:00:00,19.33
Heather Marina,2025-06-10,9:30:00,19.36
Heather Marina,2025-06-10,10:00:00,19.44
Heather Marina,2025-06-10,10:30:00,19.56
Heather Marina,2025-06-10,11:00:00,19.77
Heather Marina,2025-06-10,11:30:00,20
Heather Marina,2025-06-10,12:00:00,20.15
Heather Marina,2025-06-10,12:30:00,20.27
Heather Marina,2025-06-10,13:00:00,20.35
Heather Marina,2025-06-10,13:30:00,20.27
Heather Marina,2025-06-10,14:00:00,20.5
Heather Marina,2025-06-10,14:30:00,20.62
Heather Marina,2025-06-10,15:00:00,20.85
Heather Marina,2025-06-10,15:30:00,20.71
Heather Marina,2025-06-10,16:00:00,20.76
