Code,Site,Lat,Lon,Year,Month,Date,Nights_Fished,Hours_Fished,Weather,Subsample,Metacarcinus_magister_megalopae,Metacarcinus_magister_instar,TotalMmagister,CPUE_Night,CPUE_Hour,Error_Code
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-04,2,15,"Rain,Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-08,2,15,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-02,2,17,Overcast,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,Jul,2023-07-02,1,8,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-10,2,15,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-06,2,15,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,May,2024-05-31,2,17,"Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,Jul,2023-07-04,1,8,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jul,2024-07-29,2,17,Rain,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Aug,2024-08-02,2,18,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jul,2024-07-04,2,16,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jul,2024-07-04,2,16,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,May,2024-05-29,2,17,"Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,May,2024-05-21,2,17,"Rain,Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jul,2024-07-27,2,17,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,Jul,2023-07-06,1,8.5,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,Jun,2023-06-30,1,8,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Apr,2024-04-23,2,21,"Sunny,Overcast",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Apr,2024-04-25,2,21,"Rain,Overcast",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,Jun,2023-06-28,1,8,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Aug,2024-08-07,2,18,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-12,2,15,"Sunny,Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Jun,2024-06-14,2,15,"Overcast,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,Aug,2024-08-05,1,9,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,May,2024-05-23,2,17,"Sunny,Windy",N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2024,May,2024-05-09,2,17,Sunny,N,0,0,0,0,0,None
ALB,Alberni Inlet,49.231972,-124.81451,2023,May,2023-05-27,2,17,"Sunny,Windy",N,0,0,0,0,0,None
